,Attention Is All You Need,Deep Residual Learning,BERT,GPT-3,Adam Optimizer,GANs,U-Net,DALL-E 2,Stable Diffusion
fig,0.10798301,0.11483649,0.11127958,0.1121809,0.10515566,0.10699121,0.11114685,0.12195168,0.10847455
samples,0.1048602,0.105592184,0.105309464,0.111486845,0.113167025,0.1169774,0.11214918,0.11084565,0.119612016
generative,0.11059093,0.09957788,0.113411695,0.1033639,0.10330759,0.14085336,0.1012393,0.11202925,0.11562616
attention,0.124865964,0.109763496,0.11882842,0.12096426,0.0960983,0.10319513,0.10989971,0.11555795,0.100826785
β2,0.11215255,0.11512546,0.11097793,0.10540308,0.108606935,0.11392398,0.115353644,0.10673774,0.11171875
output,0.116343565,0.11354603,0.12074326,0.10560919,0.10012999,0.11361519,0.10635043,0.11431622,0.10934619
imagenet,0.1081872,0.12921366,0.10096507,0.09741558,0.10302708,0.10458653,0.13337776,0.10808534,0.115141824
64,0.10626375,0.12025587,0.114212014,0.10959301,0.105906874,0.11233932,0.11172534,0.108433165,0.111270696
16,0.10957774,0.11462249,0.11207185,0.11056095,0.11265453,0.10774736,0.10960622,0.107115455,0.11604348
diffusion,0.110417195,0.09966149,0.09903343,0.09715946,0.11575534,0.110021554,0.1092502,0.10750899,0.1511924
